Страна;ln(gdp);unempl^(1/3);life_exp;prosp;corr;comp
Сенегал;10,22649056;1,426043147;67,1;Средний;Средний;Низкий
Сербия;11,05197085;2,080083823;74,2;Выше среднего;Средний;Средний
Сингапур;12,89165856;1,600520664;82,8;Выше среднего;Низкий;Высокий
Словакия;11,65156251;1,885203631;74,9;Выше среднего;Средний;Средний
Словения;11,02722049;1,709975947;80,7;Выше среднего;Ниже среднего;Высокий
Таджикистан;9,076382603;1,903778262;71,6;Средний;Выше среднего;Низкий
Таиланд;13,1342557;1,032280115;78,7;Выше среднего;Средний;Средний
Танзания;11,12395015;1,280579165;66,2;Средний;Средний;Низкий
Тринидад и Тобаго;9,97076295;1,473612599;73;Выше среднего;Средний;Средний
Тунис;10,75449367;2,471680412;73,8;Средний;Средний;Средний
Турция;13,61127677;2,357348358;76;Средний;Средний;Средний
Уганда;10,60744361;2,161592333;62,7;Средний;Выше среднего;Низкий
Украина;12,20650025;2,117911792;71,6;Средний;Выше среднего;Средний
Уругвай;10,99069421;2,18975957;75,4;Выше среднего;Ниже среднего;Средний
Филиппины;12,8843255;1,357208808;69,3;Средний;Выше среднего;Средний
Финляндия;12,60871791;1,983192483;82;Высокий;Низкий;Высокий
Хорватия;11,12487469;1,957433821;77,6;Выше среднего;Средний;Средний
Чад;9,374156759;1,032280115;52,5;Ниже среднего;Выше среднего;Низкий
Черногория;8,667192982;2,615879154;76,3;Выше среднего;Средний;Средний
Чехия;12,55087031;1,375068867;77,7;Выше среднего;Ниже среднего;Высокий
Чили;12,66684161;2,237377884;78,9;Выше среднего;Ниже среднего;Высокий
Швейцария;13,6083227;1,686865331;84;Высокий;Низкий;Высокий
Швеция;13,34939998;2,024693852;83;Высокий;Низкий;Высокий
Шри-Ланка;11,34472963;1,675068684;76,4;Средний;Средний;Средний
Эквадор;11,57275796;1,827160137;73,7;Средний;Средний;Средний
Эстония;10,49855101;1,894536474;77,1;Выше среднего;Ниже среднего;Высокий
Ямайка;9,520632158;1,866255578;70,5;Выше среднего;Средний;Средний
